Nr.;Stadtteil Stadtbezirk Stadt Köln;0 -2;3 - 5;6 - 14;15 - 17;18 - 20;21 - 34;35 - 59;60 - 64;65 - 74;75 - 79;80 u. älter;Alleinerziehende;Haushalte mit Kind(ern);Haushalte insgesamt;EinpersonenHaushalte;2-Personen-Haushalte;3-Personen-Haushalte;4-Personen-Haushalte;5-PersonenHaushalte und größer;Personen je Haushalt;Jugendquotient am 31.12.2020 ;;;;
101;Altstadt-Süd;602;432;966;327;589;9541;9675;1408;2092;867;1483;314;1421;18440;12841;3826;1037;532;204;1,45;unter 20,0;;;;
102;Neustadt-Süd;1016;721;1766;485;858;13480;13816;1661;2306;808;1183;550;2655;24647;16667;4966;1710;1014;290;1,51;unter 20,0;;;;
103;Altstadt-Nord;383;249;508;172;382;6290;6645;861;1152;537;1143;186;843;12045;8554;2471;605;322;93;1,42;unter 20,0;;;;
104;Neustadt-Nord;789;566;1314;357;515;8409;11114;1513;2128;817;1110;353;2024;18331;12012;3934;1336;842;207;1,55;unter 20,0;;;;
105;Deutz;387;295;780;234;431;4911;5370;781;1029;448;850;257;1051;8797;5316;2251;713;401;116;1,61;unter 20,0;;;;
1;Innenstadt;3177;2263;5334;1575;2775;42631;46620;6224;8707;3477;5769;1660;7994;82260;55390;17448;5401;3111;910;1,5;unter 20,0;;;;
201;Bayenthal;340;296;747;233;301;2330;3939;516;837;372;515;180;959;5431;2880;1442;571;407;131;1,8;20,0 bis 24,9;;;;
202;Marienburg;241;200;543;191;192;1405;2687;425;668;307;399;120;718;3594;1618;1075;450;305;146;1,98;20,0 bis 24,9;;;;
203;Raderberg;204;182;496;128;226;1707;2496;342;459;181;273;143;632;3407;1801;862;366;267;111;1,85;unter 20,0;;;;
204;Raderthal;115;147;374;149;133;787;1759;317;481;222;385;102;470;2519;1181;775;255;230;78;1,92;25,0 bis 29,9;;;;
205;Zollstock;593;584;1431;414;651;6096;8098;1206;1874;888;1505;454;1908;12959;7411;3292;1169;803;284;1,72;unter 20,0;;;;
206;Rondorf;198;246;846;287;320;1230;3398;770;1042;398;622;190;913;4397;1717;1445;627;482;126;2,07;25,0 bis 29,9;;;;
